SoC_CH;OCP_NE_CH;OCP_PE_CH;SoC_DCH;OCP_NE_DCH;OCP_PE_DCH;Q_Ch;Q_Dch
0;1.06936;3.56474;0;1.184724;3.584737;0;0
0.00050025;1.003009035;3.567044918;0.00050025;1.173935169;3.585236553;0.003925315;0.003795126
0.0010005;0.962291829;3.567900102;0.0010005;1.16319908;3.585743433;0.00785063;0.007590251
0.00150075;0.928096952;3.568641509;0.00150075;1.15282771;3.586245541;0.011775945;0.011385377
0.002001001;0.897931371;3.569312864;0.002001001;1.142564737;3.586751309;0.01570126;0.015180503
0.002501251;0.870772543;3.569950048;0.002501251;1.132567769;3.587254046;0.019626575;0.018975628
0.003001501;0.846134809;3.570554265;0.003001501;1.1227718;3.587753957;0.02355189;0.022770754
0.003501751;0.823729483;3.571143752;0.003501751;1.113159401;3.588256592;0.027477205;0.02656588
0.004002001;0.803246145;3.571716842;0.004002001;1.103811429;3.588753864;0.03140252;0.030361005
0.004502251;0.784416048;3.572270915;0.004502251;1.094623842;3.589247351;0.035327835;0.034156131
0.005002501;0.767119084;3.572820377;0.005002501;1.085580297;3.589740574;0.03925315;0.037951257
0.005502751;0.751278989;3.573357175;0.005502751;1.076754833;3.59023516;0.043178465;0.041746382
0.006003002;0.736826566;3.573892072;0.006003002;1.068116927;3.590724413;0.04710378;0.045541508
0.006503252;0.723632592;3.574413425;0.006503252;1.059616985;3.591214258;0.051029095;0.049336634
0.007003502;0.711542233;3.574940296;0.007003502;1.051285759;3.591702058;0.05495441;0.053131759
0.007503752;0.700369235;3.575456135;0.007503752;1.043066766;3.592186169;0.058879725;0.056926885
0.008004002;0.68996539;3.575974075;0.008004002;1.035023453;3.592671034;0.06280504;0.060722011
0.008504252;0.680203268;3.5764877;0.008504252;1.027167732;3.593154305;0.066730354;0.064517136
0.009004502;0.67097623;3.577000768;0.009004502;1.019424879;3.593631128;0.070655669;0.068312262
0.009504752;0.66219849;3.577512575;0.009504752;1.011795201;3.594106176;0.074580984;0.072107388
0.010005003;0.653812677;3.578022842;0.010005003;1.004317216;3.594581796;0.078506299;0.075902513
0.010505253;0.64578843;3.578533992;0.010505253;0.996945938;3.59505522;0.082431614;0.079697639
0.011005503;0.638078546;3.579044756;0.011005503;0.989772927;3.595524426;0.086356929;0.083492765
0.011505753;0.630656107;3.579553047;0.011505753;0.982690885;3.595995773;0.090282244;0.08728789
0.012006003;0.623499227;3.580067904;0.012006003;0.975735424;3.596465451;0.094207559;0.091083016
0.012506253;0.616588007;3.580575826;0.012506253;0.968942563;3.596932344;0.098132874;0.094878142
0.013006503;0.60991093;3.581087572;0.013006503;0.962264516;3.597392921;0.102058189;0.098673268
0.013506753;0.603455559;3.581601987;0.013506753;0.955758433;3.597854554;0.105983504;0.102468393
0.014007004;0.597196351;3.582112392;0.014007004;0.949338928;3.598314202;0.109908819;0.106263519
0.014507254;0.59112429;3.582624309;0.014507254;0.942995471;3.598774692;0.113834134;0.110058645
0.015007504;0.585233863;3.583136549;0.015007504;0.936730356;3.599225728;0.117759449;0.11385377
0.015507754;0.579513798;3.583655744;0.015507754;0.930539537;3.599680917;0.121684764;0.117648896
0.016008004;0.573953112;3.584169432;0.016008004;0.924448387;3.600136025;0.125610079;0.121444022
0.016508254;0.568546921;3.584685307;0.016508254;0.918442335;3.600581939;0.129535394;0.125239147
0.017008504;0.56328869;3.585206532;0.017008504;0.912528485;3.601033366;0.133460709;0.129034273
0.017508754;0.558165997;3.585724338;0.017508754;0.906687059;3.601480681;0.137386024;0.132829399
0.018009005;0.553172129;3.586245702;0.018009005;0.900932384;3.601925591;0.141311339;0.136624524
0.018509255;0.548303946;3.586764488;0.018509255;0.895290084;3.602366988;0.145236654;0.14041965
0.019009505;0.543552503;3.58728491;0.019009505;0.88971472;3.602803552;0.149161969;0.144214776
